symbolSize,value,draggable,category,label
33.0,62,False,小冰,{'normal': {'show': 'True'}}
12.5,20,False,瘦猪,{'normal': {'show': 'True'}}
25.0,44,False,Missingyj,{'normal': {'show': 'True'}}
20.5,35,False,飞羽,{'normal': {'show': 'True'}}
63.0,116,False,ray,{'normal': {'show': 'True'}}
66.0,124,False,康熙,{'normal': {'show': 'True'}}
46.5,80,False,灵猫,{'normal': {'show': 'True'}}
19.5,34,False,洋芋条,{'normal': {'show': 'True'}}
38.0,70,False,豆浆,{'normal': {'show': 'True'}}
73.5,137,False,晨星,{'normal': {'show': 'True'}}
14.5,22,False,007,{'normal': {'show': 'True'}}
105.0,196,False,小狼,{'normal': {'show': 'True'}}
28.0,50,False,大头娃娃,{'normal': {'show': 'True'}}
27.0,47,False,黑白,{'normal': {'show': 'True'}}
114.5,215,False,冰淇淋,{'normal': {'show': 'True'}}
14.0,19,False,紫茎泽兰,{'normal': {'show': 'True'}}
14.0,22,False,杯子,{'normal': {'show': 'True'}}
30.0,50,False,liber,{'normal': {'show': 'True'}}
42.0,79,False,紫宸,{'normal': {'show': 'True'}}
