source,target,value
f.s.s.,juan'er,13
f.s.s.,f.s.s,315
骆驼,小鸟,9
eel,pig,8
eel,曙光,204
eel,泡菜,13
白薇,calcor,12
白薇,GABRIELLE,65
风,ciwei,182
风,三毛,392
风,曙光,166
风,summer,81
风,凯文卡特,498
风,金鱼,71
风,energid,145
风,阿秀,72
风,正琛,449
风,光头飞车,397
风,自由,201
风,外星人BT,127
风,樱桃花开,108
风,feet,143
风,calcor,167
芋头,芋头,7802
芋头,winddancer,79
芋头,风,1676
芋头,鸽子,1839
芋头,liyou,1496
芋头,樱桃花开,2
芋头,自由,364
芋头,泡菜,246
芋头,小少爷,11
芋头,窝头,28
芋头,鬼魂,2
energid,time,48
energid,goldsupper,17
energid,金鱼,239
energid,风,1843
energid,向日葵,175
energid,燃灯大法师,51
energid,bigpig,214
energid,椰风,54
energid,外星人BT,70
energid,baby,248
energid,猫豆,7
saying,风,12
saying,海狸,86
saying,自由,846
saying,baby,384
goldsupper,starryday,1552
goldsupper,bigpower,2
goldsupper,泡菜,466
goldsupper,外星人BT,270
goldsupper,camel_pku,58
飞轮,曙光,145
飞轮,飞轮,2237
飞轮,燃灯大法师,50
飞轮,baby,52
飞轮,自由,2
飞轮,兔子,67
飞轮,w_dw,240
飞轮,bigpower,380
飞轮,小修理工,64
飞轮,金鱼,812
飞轮,大力,159
飞轮,猫豆,482
飞轮,漂泊的叶,532
飞轮,椰风,259
so,骆驼,1800
so,yang,484
so,外星人BT,415
so,so,3041
so,阿风,2001
so,bigpower,1372
so,camel,62
so,三毛,298
so,风,474
so,曙光,636
so,海豹,171
so,猫豆,296
so,stream,371
so,向日葵,6
so,长弓雨晨,299
so,f.s.s.,179
so,自由,581
so,漂泊的叶,814
so,robber,306
so,天体,218
so,樱桃花开,711
so,最幸福的前旗,147
so,一天到晚游泳的小鲨鱼,12
so,光头飞车,1175
so,liyou,63
so,david,39
so,继缘,751
bobotree,bigpower,456
青青,bigpower,251
青青,曙光,597
青青,starryday,589
青青,风,108
青青,樱木,75
青青,haha,16
青青,毛毛虫,181
青青,骆驼,405
青青,自由,560
青青,tutu,531
青青,小权,118
青青,三毛,279
阿薰,david,158
阿薰,so,352
阿薰,外星人BT,73
阿薰,自由,331
阿薰,三毛,474
阿薰,feet,246
flysky,小修理工,308
flysky,上帝,74
flysky,flysky,45
flysky,空门,175
starryday,海豹,179
starryday,小鸟,5
starryday,曙光,91
starryday,robber,293
starryday,bigpower,407
starryday,不行了,180
sw7600gr,外星人BT,8
sw7600gr,sw7600gr,29
sw7600gr,光头飞车,8
sw7600gr,bigpower,293
sw7600gr,掌网人,23
sw7600gr,自由,344
sw7600gr,so,35
sw7600gr,瞬,173
sw7600gr,戴帽子的海狸,127
